"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1999,Illinois,1084,6,0.01,1,0.17,0,0,12246219,144646
1999,Indiana,448,254,0.57,0,0,0,0,5957410,0
1999,Iowa,297,208,0.70,208,1.00,0,0,2890876,2668665
1999,Kansas,473,2,0.00,0,0,0,0,2654899,0
1999,Kentucky,722,16,0.02,4,0.25,0,0,3971951,89389
1999,Louisiana,314,197,0.63,0,0,0,0,4422198,0
1999,Maine,243,178,0.73,0,0,0,0,1283547,0
1999,Mariana Islands,1,0,0,0,0,0,0,0,0
1999,Maryland,217,146,0.67,0,0,0,0,5329480,0
1999,Massachusetts,503,316,0.63,146,0.46,0,0,6190355,2426343
1999,Michigan,859,602,0.70,568,0.94,0,0,10131696,7088631
1999,Minnesota,495,318,0.64,1,0.00,0,0,4823751,33950
1999,Mississippi,273,117,0.43,0,0,0,0,2769107,0
1999,Missouri,727,247,0.34,0,0,0,0,5543399,0
1999,Montana,143,45,0.31,0,0,0,0,961317,0
1999,Nebraska,337,251,0.74,12,0.05,0,0,1762297,230294
1999,Nevada,78,36,0.46,0,0,0,0,1814905,0
1999,New Hampshire,264,60,0.23,11,0.18,0,0,1301550,137748
1999,New Jersey,653,517,0.79,0,0,0,0,8188146,0
1999,New Mexico,150,84,0.56,0,0,0,0,1754684,0
1999,New York,1161,702,0.60,0,0,1,0.00,19992301,0
1999,North Carolina,818,467,0.57,0,0,0,0,7671532,0
1999,North Dakota,144,83,0.58,77,0.93,0,0,646111,501221
1999,Ohio,930,366,0.39,70,0.19,0,0,11577790,2217717
1999,Oklahoma,503,303,0.60,0,0,0,0,3405170,0
1999,Oregon,301,201,0.67,1,0.00,0,0,3353566,35163
1999,Other,0,0,0,0,0,0,0,0,0
1999,Pennsylvania,1883,1000,0.53,0,0,0,0,12422113,0
1999,Puerto Rico,25,0,0,0,0,0,0,0,0
1999,Rhode Island,62,46,0.74,0,0,0,0,997138,0
1999,South Carolina,572,274,0.48,274,1.00,0,0,3912894,3882611
1999,South Dakota,190,72,0.38,0,0,0,0,743276,0
1999,Tennessee,593,364,0.61,340,0.93,0,0,5491149,4509059
1999,Texas,1284,938,0.73,53,0.06,1,0.00,20134706,1624976
1999,US Virgin Islands,3,0,0,0,0,0,0,0,0
1999,Utah,190,110,0.58,55,0.50,1,0.01,2242312,1534584
1999,Vermont,103,60,0.58,42,0.70,0,0,602272,492734
1999,Virginia,469,391,0.83,354,0.91,2,0.01,6881126,5744686
1999,Washington,322,235,0.73,4,0.02,0,0,5772925,562199
1999,West Virginia,534,247,0.46,247,1.00,0,0,1826649,1521631
1999,Wisconsin,490,356,0.73,1,0.00,0,0,5314509,580899
1999,Wyoming,84,66,0.79,0,0,0,0,484327,0
2000,Alabama,488,218,0.45,0,0,0,0,4488050,0
2000,Alaska,51,32,0.63,0,0,0,0,626932,0
2000,American Samoa,1,0,0,0,0,0,0,0,0
2000,Arizona,151,99,0.66,0,0,0,0,5142271,0
2000,Arkansas,347,196,0.56,5,0.03,0,0,2737887,369027
2000,California,895,722,0.81,0,0,1,0.00,33974269,0
2000,Canal Zone,0,0,0,0,0,0,0,0,0
2000,Colorado,304,204,0.67,140,0.69,1,0.00,4333212,2470043
2000,Connecticut,128,100,0.78,46,0.46,0,0,3485100,1610487
2000,Delaware,82,53,0.65,0,0,0,0,806621,0
2000,District of Columbia,3,1,0.33,0,0,0,0,572059,0
2000,Florida,836,518,0.62,0,0,0,0,16049613,0
2000,Georgia,815,557,0.68,0,0,0,0,8200086,0
2000,Guam,3,0,0,0,0,0,0,0,0
2000,Hawaii,15,4,0.27,0,0,0,0,1314665,0
2000,Idaho,150,119,0.79,119,1.00,0,0,1326951,1282539
2000,Illinois,1084,6,0.01,1,0.17,0,0,12499777,150115
2000,Indiana,448,266,0.59,0,0,0,0,6096020,0
2000,Iowa,297,218,0.73,218,1.00,0,0,2950043,2840965
2000,Kansas,473,312,0.66,311,1.00,0,0,2761829,2285796
2000,Kentucky,722,20,0.03,10,0.50,0,0,4066838,157418
2000,Louisiana,313,192,0.61,0,0,0,0,4522112,0
2000,Maine,242,179,0.74,0,0,0,0,1314095,0
2000,Mariana Islands,1,0,0,0,0,0,0,0,0
2000,Maryland,216,148,0.69,0,0,0,0,5449611,0
2000,Massachusetts,502,326,0.65,187,0.57,0,0,6365273,3131851
2000,Michigan,859,616,0.72,593,0.96,0,0,10243936,8037390
2000,Minnesota,495,314,0.63,3,0.01,4,0.01,4983365,536924
2000,Mississippi,273,130,0.48,0,0,0,0,2844765,0
2000,Missouri,727,244,0.34,0,0,0,0,5666897,0
2000,Montana,143,54,0.38,1,0.02,0,0,979214,9383
2000,Nebraska,337,248,0.74,11,0.04,0,0,1776031,178443
2000,Nevada,78,36,0.46,0,0,0,0,2003421,0
2000,New Hampshire,264,106,0.40,12,0.11,0,0,1327707,129070
2000,New Jersey,653,517,0.79,0,0,0,0,8461319,0
2000,New Mexico,150,83,0.55,1,0.01,0,0,1830812,37844
2000,New York,1040,634,0.61,0,0,1,0.00,20769343,0
2000,North Carolina,809,427,0.53,0,0,0,0,8084417,0
2000,North Dakota,144,75,0.52,70,0.93,0,0,658473,504897
2000,Ohio,930,382,0.41,101,0.26,0,0,11633043,2266867
2000,Oklahoma,503,302,0.60,0,0,0,0,3498712,0
2000,Oregon,301,204,0.68,3,0.01,0,0,3460183,52930
2000,Other,0,0,0,0,0,0,0,0,0
2000,Pennsylvania,1883,1006,0.53,0,0,3,0.00,12822219,0
2000,Puerto Rico,25,0,0,0,0,0,0,0,0
2000,Rhode Island,62,48,0.77,0,0,0,0,1054364,0
2000,South Carolina,571,391,0.68,391,1.00,0,0,4035045,4007782
2000,South Dakota,190,85,0.45,62,0.73,0,0,765528,286095
2000,Tennessee,590,424,0.72,423,1.00,0,0,5696812,5684989
2000,Texas,1284,950,0.74,55,0.06,0,0,20934833,1954831
2000,US Virgin Islands,3,0,0,0,0,0,0,0,0
2000,Utah,189,115,0.61,58,0.50,0,0,2355886,1702774
2000,Vermont,103,66,0.64,44,0.67,0,0,617492,515166
2000,Virginia,467,384,0.82,384,1.00,0,0,7085348,6980761
2000,Washington,321,241,0.75,5,0.02,0,0,5910726,621227
2000,West Virginia,479,263,0.55,263,1.00,0,0,1819964,1677041
2000,Wisconsin,490,349,0.71,0,0,0,0,5433493,0
2000,Wyoming,84,65,0.77,0,0,0,0,499238,0
